"product_id";"product_name";"price";"category_id";"class";"modify_timestamp";"resistant";"is_allergic";"vitality_days"
507;Silver Carrot;333.33;1;B;"2025-11-24 21:51:39";No;No;33
506;Golden Apple;777.77;1;A;"2025-11-24 21:51:39";No;No;77
505;Black Tea Classic Small Pack #30;8.21;15;B;"2025-11-24 21:51:39";No;Yes;124
504;Green Tea Small Pack #29;19.37;15;C;"2025-11-24 21:51:39";No;Yes;174
503;Arabica Coffee Beans Family Pack #28;7.66;15;B;"2025-11-24 21:51:39";Yes;No;39
502;Green Tea Classic;17.68;15;B;"2025-11-24 21:51:39";No;Yes;34
501;Ground Coffee Medium Roast Classic;2.94;15;C;"2025-11-24 21:51:39";No;Yes;23
500;Ground Coffee Medium Roast Family Pack #25;16.96;15;C;"2025-11-24 21:51:39";No;No;86
499;Ground Coffee Medium Roast;35.7;15;A;"2025-11-24 21:51:39";Yes;Yes;94
498;Black Tea Classic;35.84;15;C;"2025-11-24 21:51:39";Yes;No;177
497;Green Tea Family Pack #22;35.63;15;A;"2025-11-24 21:51:39";Yes;Yes;96
496;Arabica Coffee Beans Classic;12.5;15;B;"2025-11-24 21:51:39";No;Yes;28
495;Black Tea Classic Small Pack;4.96;15;B;"2025-11-24 21:51:39";Yes;Yes;125
494;Herbal Tea Calm Small Pack;38.79;15;B;"2025-11-24 21:51:39";No;No;99
493;Green Tea Premium #18;31.69;15;C;"2025-11-24 21:51:39";Yes;Yes;108
492;Arabica Coffee Beans Premium;18.42;15;B;"2025-11-24 21:51:39";Yes;Yes;27
491;Ground Coffee Medium Roast Premium;30.07;15;A;"2025-11-24 21:51:39";No;No;52
490;Black Tea Classic Premium #15;36.92;15;C;"2025-11-24 21:51:39";Yes;Yes;137
489;Green Tea Family Pack #14;7.93;15;A;"2025-11-24 21:51:39";No;Yes;56
488;Black Tea Classic Premium;9.71;15;C;"2025-11-24 21:51:39";Yes;No;88
